url,source_pages,http_status,final_url,request_error,interpretation,follow_up
http://budefoodfestival.co.uk/,/exciting-events-aplenty-in-bude-this-summer/,200,http://budefoodfestival.co.uk/,,HTTP success; content relevance not certified,
http://lifesabeach.info/,/the-best-bude-restaurants/,200,https://lifesabeach.info/,,HTTP success; content relevance not certified,
http://thebargebude.co.uk/,/the-best-bude-restaurants/,200,https://expireddomains.com/domain/thebargebude.co.uk,,HTTP success; content relevance not certified,
http://www.bbc.co.uk/food/programmes/b087xjtg,/the-best-bude-restaurants/,200,https://www.bbc.co.uk/food/programmes/b08htzwq/episodes,,HTTP success; content relevance not certified,
http://www.budecarnival.org.uk/,/exciting-events-aplenty-in-bude-this-summer/,200,https://www.budecarnival.org.uk/,,HTTP success; content relevance not certified,
http://www.budegolf.co.uk/,/tee-off-in-bude-and-enjoy-a-perfect-cornish-golfing-getaway/,200,https://www.budegolf.co.uk/,,HTTP success; content relevance not certified,
http://www.davidmyers.co.uk/,/bude-whats-on-guide-october-half-term-2024/,200,https://www.davidmyers.co.uk/,,HTTP success; content relevance not certified,
http://www.rectory-tearooms.co.uk/tearooms.html,/the-best-bude-restaurants/,200,http://www.rectory-tearooms.co.uk/tearooms.html,,HTTP success; content relevance not certified,
http://www.robnewman.com/,/bude-literary-festival-2026/,200,http://www.robnewman.com/,,HTTP success; content relevance not certified,
http://www.thebigsheep.co.uk/,/top-holiday-ideas-bude/,200,https://thebigsheep.co.uk/,,HTTP success; content relevance not certified,
http://www.themilkyway.co.uk/,/top-holiday-ideas-bude/,200,https://themilkyway.co.uk/,,HTTP success; content relevance not certified,
http://www.tintagelweb.co.uk/,/top-holiday-ideas-bude/,200,http://www.tintagelweb.co.uk/,,HTTP success; content relevance not certified,
http://www.woodlandsmanorfarm.ci.uk/,/top-10-reasons-why-bude-is-perfect-for-family-holidays-in-cornwall/,,,TypeError: fetch failed,incorrect business-domain spelling,Replace with the real farm domain
https://adventure.uk.com/facilities.php,/top-holiday-ideas-bude/,200,https://adventure.uk.com/facilities.php,,HTTP success; content relevance not certified,
https://bellinisdelikitchen.co.uk/,/shopping-in-bude-unique-gifts-and-independent-stores/,200,https://www.bellinisdelikitchen.co.uk/,,HTTP success; content relevance not certified,
https://bodminrailway.co.uk/,/things-to-do-in-bude/,200,https://bodminrailway.co.uk/,,HTTP success; content relevance not certified,
https://budehavenrec.com/,/things-to-do-in-bude/; /top-10-reasons-why-bude-is-perfect-for-family-holidays-in-cornwall/; /tee-off-in-bude-and-enjoy-a-perfect-cornish-golfing-getaway/,200,https://budehavenrec.com/,,HTTP success; content relevance not certified,
https://budeicecream.com/,/top-10-reasons-why-bude-is-perfect-for-family-holidays-in-cornwall/,200,https://budeicecream.com/,,HTTP success; content relevance not certified,
https://cara-hunter.com/,/bude-literary-festival-2026/,200,https://cara-hunter.com/,,HTTP success; content relevance not certified,
https://cornishcompass.com/wild-swimming-goldiggins-quarry-cornwall/,/wild-swimming-delights-near-woodlands-manor-farm/,200,https://cornishcompass.com/wild-swimming-goldiggins-quarry-cornwall/,,HTTP success; content relevance not certified,
https://cornwallatwarmuseum.co.uk/,/things-to-do-in-bude/,200,https://cornwallatwarmuseum.co.uk/index.html,,HTTP success; content relevance not certified,
https://cornwallpride.org/celebrate-pride/bude-pride,/exciting-events-aplenty-in-bude-this-summer/,404,https://cornwallpride.org/celebrate-pride/cornwall-pride-(truro),,confirmed missing response during audit,
https://crookletsbeachcafe.co.uk/,/top-10-reasons-why-bude-is-perfect-for-family-holidays-in-cornwall/,200,https://crookletsbeachcafe.co.uk/,,HTTP success; content relevance not certified,
https://explorecornwall.uk/attractions/wild-swimming-at-respryn-bridge/,/wild-swimming-delights-near-woodlands-manor-farm/,200,https://explorecornwall.uk/attractions/wild-swimming-at-respryn-bridge/,,HTTP success; content relevance not certified,
https://galewarning.org/,/bude-literary-festival-2026/,200,https://galewarning.org/,,HTTP success; content relevance not certified,
https://guide.michelin.com/en/gb/cornwall/restaurants/the-plate-michelin/page/2,/discover-the-best-glamping-spots-in-cornwall-for-2025/,202,https://guide.michelin.com/en/gb/cornwall/restaurants/the-plate-michelin/page/2,,uncertain; manual check,
https://harpercollins.co.uk/products/a-neighbours-guide-to-murder-louise-candlish?variant=55172265476475,/bude-literary-festival-2026/,200,https://harpercollins.co.uk/products/a-neighbours-guide-to-murder-louise-candlish?variant=55172265476475,,HTTP success; content relevance not certified,
https://ico.org.uk/,/privacy/,200,https://ico.org.uk/,,HTTP success; content relevance not certified,
https://laboccapizza.co.uk/,/the-best-bude-restaurants/,200,https://laboccapizza.co.uk/,,HTTP success; content relevance not certified,
https://lellalee.com/top-tips-for-newbie-glampers/,/discover-the-best-glamping-spots-in-cornwall-for-2025/,200,https://lellalee.com/top-tips-for-newbie-glampers/,,HTTP success; content relevance not certified,
https://lifesabeach.info/,/places-to-eat-in-bude/; /bude-whats-on-guide-october-half-term-2024/,200,https://lifesabeach.info/,,HTTP success; content relevance not certified,
https://maps.app.goo.gl/CUDSFvUtqPuTt6zs6,/; /contact-us/; /about-woodlands-manor-farm-holiday-cottages-with-a-pool/; /budhyn-yurt/; /bude-holiday-cottages/; /experiences-weddings-events/; /dog-friendly-holiday-cottages-bude/; /fenton-yurt/; /dog-rules/; /jasmine-cottage/; /holiday-cottage-direct-booking-woodlands-cornwall/; /honeysuckle-cottage/; /holiday-cottage-inventory/; /places-to-eat-in-bude/; /on-the-farm/; /lavender-cottage/; /news/; /special-offers/; /privacy/; /rose-cottage/; /reviews/; /the-little-extras/; /terms-conditions/; /the-coach-house/; /the-animals-at-woodlands/; /website-terms/; /things-to-do-in-bude/; /the-manor-house/; /the-stables/; /bude-literary-festival-2026/; /yurts/; /woodlands-manor-farm-wins-6-booking-com-traveller-choice-awards/; /what-our-visitors-say-about-their-stay-at-woodlands-manor-farm/; /the-magic-of-feed-the-animals/; /bush-inn-morwenstow-best-pub-cornwall/; /shopping-in-bude-unique-gifts-and-independent-stores/; /christmas-in-bude-2025/; /summerleaze-beach-top-20-uk-beach-l/; /the-best-bude-restaurants/; /sea-fishing-with-alastair-james-charters/; /top-10-reasons-why-bude-is-perfect-for-family-holidays-in-cornwall/; /wild-swimming-delights-near-woodlands-manor-farm/; /bude-whats-on-guide-october-half-term-2024/; /top-holiday-ideas-bude/; /discover-the-best-glamping-spots-in-cornwall-for-2025/; /experience-an-unforgettable-family-winter-break/; /tee-off-in-bude-and-enjoy-a-perfect-cornish-golfing-getaway/; /alpaca-walking-woodlands-manor-farm/; /discover-the-breathtaking-cycling-routes-of-north-cornwall/; /exciting-events-aplenty-in-bude-this-summer/; /our-brand-new-yurts-are-now-open/,200,"https://www.google.com/maps/place/Woodlands+Manor+Farm/@50.885776,-4.5134467,17z/data=!3m1!4b1!4m9!3m8!1s0x486c747e0f0e93e5:0x212b941c43aa9d53!5m2!4m1!1i2!8m2!3d50.8857761!4d-4.5085812!16s%2Fg%2F1wfvm1yt?coh=210790&entry=tts&ucbcb=1",,HTTP success; content relevance not certified,
https://monsterslipandslide.com/,/top-10-reasons-why-bude-is-perfect-for-family-holidays-in-cornwall/; /top-holiday-ideas-bude/,200,https://monsterslipandslide.com/,,HTTP success; content relevance not certified,
https://nigelplaner.co.uk/,/bude-literary-festival-2026/,200,https://nigelplaner.co.uk/,,HTTP success; content relevance not certified,
https://northcoastarts.co.uk/events/bude-literary-festival-wed-13-sun-17-may-2026/,/bude-literary-festival-2026/,404,https://northcoastarts.co.uk/events/bude-literary-festival-wed-13-sun-17-may-2026/,,confirmed missing response during audit,
https://nybreakings.co.uk/john-crace-british-political-satire-profile/,/bude-literary-festival-2026/,200,https://nybreakings.co.uk/john-crace-british-political-satire-profile/,,HTTP success; content relevance not certified,
https://olivetreebude.co.uk/,/the-best-bude-restaurants/,200,https://www.olivetreebude.co.uk/,,HTTP success; content relevance not certified,
https://padstowlive.com/,/things-to-do-in-bude/,200,https://padstowlive.com/,,HTTP success; content relevance not certified,
https://prestongateinn.co.uk/,/bush-inn-morwenstow-best-pub-cornwall/; /the-best-bude-restaurants/; /top-10-reasons-why-bude-is-perfect-for-family-holidays-in-cornwall/; /top-holiday-ideas-bude/,200,https://prestongateinn.co.uk/,,HTTP success; content relevance not certified,
https://refillshop.co.uk/,/shopping-in-bude-unique-gifts-and-independent-stores/,,,TypeError: fetch failed,uncertain; manual check,
https://rnli.org/find-my-nearest/lifeboat-stations/bude-lifeboat-station,/summerleaze-beach-top-20-uk-beach-l/,403,https://rnli.org/find-my-nearest/lifeboat-stations/bude-lifeboat-station,,uncertain; manual check,Access denied may be bot protection; do not assume destination is broken
https://rosieskitchen.co.uk/,/the-best-bude-restaurants/; /top-10-reasons-why-bude-is-perfect-for-family-holidays-in-cornwall/,200,https://rosieskitchen.co.uk/,,HTTP success; content relevance not certified,
https://seventhwavegallery.co.uk/,/shopping-in-bude-unique-gifts-and-independent-stores/,200,https://seventhwavegallery.co.uk/,,HTTP success; content relevance not certified,
https://spencerthorn.com/,/shopping-in-bude-unique-gifts-and-independent-stores/,200,https://spencerthorn.com/,,HTTP success; content relevance not certified,
https://stmichaelsmount.co.uk/,/discover-the-best-glamping-spots-in-cornwall-for-2025/,200,https://stmichaelsmount.co.uk/,,HTTP success; content relevance not certified,
https://thebigsheep.co.uk/,/things-to-do-in-bude/,200,https://thebigsheep.co.uk/,,HTTP success; content relevance not certified,
https://thebushinn.co.uk/,/places-to-eat-in-bude/,,,TypeError: fetch failed,uncertain; manual check,HTTPS request failed; verified official destination is www.thebushinnmorwenstow.com
https://thecrustpizza.co.uk/,/the-best-bude-restaurants/,200,https://tadaramen.com/,,HTTP success; content relevance not certified,
https://thedeckbude.co.uk/,/the-best-bude-restaurants/,200,https://www.thebeachatbude.co.uk/,,HTTP success; content relevance not certified,
