path,first_http_status,final_http_status,final_preview_url,in_new_sitemap,title,meta_description,canonical,meta_robots,preview_x_robots_tag,h1_count,open_graph_title,open_graph_url,twitter_title,note
/,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/,True,"Woodlands Manor Farm — Holiday Cottages with a Pool in Bude, Cornwall","A 17th-century farm stay in the Coombe Valley near Bude, North Cornwall. Seven self-catering holiday cottages and two yurts with a heated indoor pool, farm animals and a warm Cornish welcome — the perfect family base for exploring Cornwall.",https://woodlandsmanorfarm.co.uk/,"index, follow","noindex, nofollow",1,"Woodlands Manor Farm — Holiday Cottages with a Pool in Bude, Cornwall",https://woodlandsmanorfarm.co.uk/,"Woodlands Manor Farm — Holiday Cottages with a Pool in Bude, Cornwall",
/about-woodlands-manor-farm-holiday-cottages-with-a-pool/,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/about-woodlands-manor-farm-holiday-cottages-with-a-pool/,True,"Holiday Cottages in Cornwall with a Pool — Heated Indoor, Open All Year — Woodlands Manor Farm","Holiday cottages in Bude, North Cornwall with a heated indoor pool — kept at a warm 30°C and open 8am–8pm every day of the year, free for every guest. A 17th-century farm run by Andy & Ruth Peters.",https://woodlandsmanorfarm.co.uk/about-woodlands-manor-farm-holiday-cottages-with-a-pool/,"index, follow","noindex, nofollow",1,"Woodlands Manor Farm — Holiday Cottages with a Pool in Bude, Cornwall",https://woodlandsmanorfarm.co.uk/,"Woodlands Manor Farm — Holiday Cottages with a Pool in Bude, Cornwall",
/alpaca-walking-woodlands-manor-farm/,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/alpaca-walking-woodlands-manor-farm/,True,Get Ready for an Amazing Alpaca Walking Adventure at Woodlands Manor Farm — Woodlands Manor Farm,"Visit Woodlands Manor Farm to enjoy a peaceful and unique experience with our lovely alpacas Napoleon, Erebus, and Henry.",https://woodlandsmanorfarm.co.uk/alpaca-walking-woodlands-manor-farm/,"index, follow","noindex, nofollow",1,Get Ready for an Amazing Alpaca Walking Adventure at Woodlands Manor Farm,,"Woodlands Manor Farm — Holiday Cottages with a Pool in Bude, Cornwall",
/bude-holiday-cottages/,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/bude-holiday-cottages/,True,"Holiday Cottages in Bude, Cornwall — with Heated Indoor Pool — Woodlands Manor Farm","Dog-friendly holiday cottages in Bude, North Cornwall on a farm — seven characterful cottages and two glamping yurts sleeping 2 to 12, all with heated indoor pool, games room and farm animals. Book direct, no fees.",https://woodlandsmanorfarm.co.uk/bude-holiday-cottages/,"index, follow","noindex, nofollow",1,"Holiday Cottages in Bude, Cornwall — Woodlands Manor Farm",,"Woodlands Manor Farm — Holiday Cottages with a Pool in Bude, Cornwall",
/bude-literary-festival-2026/,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/bude-literary-festival-2026/,True,Bude Literary Festival 2026 - A Literary Treat for All the Family — Woodlands Manor Farm,"Discover the Bude Literary Festival 13–17 May 2026. 89 events, a star-studded line-up & Woodlands Manor Farm, just 6 miles away, is the perfect base.",https://woodlandsmanorfarm.co.uk/bude-literary-festival-2026/,"index, follow","noindex, nofollow",1,Bude Literary Festival 2026 - A Literary Treat for All the Family,,"Woodlands Manor Farm — Holiday Cottages with a Pool in Bude, Cornwall",
/bude-whats-on-guide-october-half-term-2024/,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/bude-whats-on-guide-october-half-term-2024/,True,"Bude, What's on Guide - October Half Term 2024 — Woodlands Manor Farm","Ultimate what's on guide, Bude October Half Term. The coastal town is close to Woodlands Manor Farm, holiday cottages, and glamping yurts.",https://woodlandsmanorfarm.co.uk/bude-whats-on-guide-october-half-term-2024/,"index, follow","noindex, nofollow",1,"Bude, What's on Guide - October Half Term 2024",,"Woodlands Manor Farm — Holiday Cottages with a Pool in Bude, Cornwall",
/budhyn-yurt/,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/budhyn-yurt/,True,Budhyn Yurt — Glamping in Bude — Woodlands Manor Farm,"Authentic Mongolian yurt in a secluded spot by the pond — wood burner, private kitchen & bathroom, sleeps 4.",https://woodlandsmanorfarm.co.uk/budhyn-yurt/,"index, follow","noindex, nofollow",1,Budhyn Yurt — Woodlands Manor Farm,,"Woodlands Manor Farm — Holiday Cottages with a Pool in Bude, Cornwall",
/bush-inn-morwenstow-best-pub-cornwall/,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/bush-inn-morwenstow-best-pub-cornwall/,True,The Bush Inn Morwenstow Ranked #2 in Cornwall's Best Pubs — Woodlands Manor Farm,"The Bush Inn in Morwenstow, Bude —ranked #2 in Cornwall’s best pubs. Enjoy great food, sea views, live music, and local charm during your stay.",https://woodlandsmanorfarm.co.uk/bush-inn-morwenstow-best-pub-cornwall/,"index, follow","noindex, nofollow",1,The Bush Inn Morwenstow Ranked #2 in Cornwall's Best Pubs,,"Woodlands Manor Farm — Holiday Cottages with a Pool in Bude, Cornwall",
/christmas-in-bude-2025/,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/christmas-in-bude-2025/,True,Christmas In Bude 2025 — Woodlands Manor Farm,"Experience the magic of Christmas in Bude with festive events, markets, and the unforgettable Christmas Day swim in 2025.",https://woodlandsmanorfarm.co.uk/christmas-in-bude-2025/,"index, follow","noindex, nofollow",1,Christmas In Bude 2025,,"Woodlands Manor Farm — Holiday Cottages with a Pool in Bude, Cornwall",
/contact-us/,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/contact-us/,True,Contact Us — Woodlands Manor Farm,"Get in touch with Woodlands Manor Farm — phone, email, address, directions and the contact form.",https://woodlandsmanorfarm.co.uk/contact-us/,"index, follow","noindex, nofollow",1,"Woodlands Manor Farm — Holiday Cottages with a Pool in Bude, Cornwall",https://woodlandsmanorfarm.co.uk/,"Woodlands Manor Farm — Holiday Cottages with a Pool in Bude, Cornwall",
/discover-the-best-glamping-spots-in-cornwall-for-2025/,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/discover-the-best-glamping-spots-in-cornwall-for-2025/,True,Glamping Cornwall: Experience Nature in Luxury — Woodlands Manor Farm,Experience the ultimate glamping holiday in Cornwall. Immerse yourself in nature without sacrificing comfort at stunning locations in 2024.,https://woodlandsmanorfarm.co.uk/discover-the-best-glamping-spots-in-cornwall-for-2025/,"index, follow","noindex, nofollow",1,Glamping Cornwall: Experience Nature in Luxury,,"Woodlands Manor Farm — Holiday Cottages with a Pool in Bude, Cornwall",
